question;answer;count;cluster;sentiment;corrected
Напишите сильные стороны переговорщиков в Росатоме;отстаивание позиции;1;отстаивание позиции;neutrals;
Напишите сильные стороны переговорщиков в Росатоме;подготовка;2;подготовка;neutrals;
Напишите сильные стороны переговорщиков в Росатоме;продукты сильнее на рынке;1;продукты сильнее на рынке;positives;
Напишите сильные стороны переговорщиков в Росатоме;репутация;3;репутация;neutrals;
Напишите сильные стороны переговорщиков в Росатоме;сильная стартовая позиция;2;сильная стартовая позиция;positives;
Напишите сильные стороны переговорщиков в Росатоме;референции;1;референции;neutrals;
Напишите сильные стороны переговорщиков в Росатоме;стратегия;1;стратегия;neutrals;
Напишите сильные стороны переговорщиков в Росатоме;упрямость;1;упрямость;neutrals;
Напишите сильные стороны переговорщиков в Росатоме;харизма;1;харизма;positives;
Какие зоны роста в переговорах вы видите?;английский язык;1;английский язык;neutrals;
Какие зоны роста в переговорах вы видите?;аргументация;1;аргументы;neutrals;
Какие зоны роста в переговорах вы видите?;аргументированность;1;аргументы;positives;
Какие зоны роста в переговорах вы видите?;аргументы;1;аргументы;neutrals;
Какие зоны роста в переговорах вы видите?;более жесткая позиция;1;жесткость;neutrals;
Какие зоны роста в переговорах вы видите?;больше опыта;1;больше опыта;positives;
Какие зоны роста в переговорах вы видите?;брать на себя роль лидера;1;брать на себя роль лидера;neutrals;
Какие зоны роста в переговорах вы видите?;взаимные интересы;1;взаимные интересы;positives;
Какие зоны роста в переговорах вы видите?;гибкость;1;гибкость;positives;
Какие зоны роста в переговорах вы видите?;жесткость;1;жесткость;neutrals;
Какие зоны роста в переговорах вы видите?;инициативность;2;инициативность;positives;
Какие зоны роста в переговорах вы видите?;коммуникативность;1;коммуникативность;positives;
Какие зоны роста в переговорах вы видите?;культурные тонкости;1;культурные тонкости;neutrals;
Какие зоны роста в переговорах вы видите?;лучше торговаться;1;лучше торговаться;positives;
Какие зоны роста в переговорах вы видите?;международная специфика;1;международная специфика;neutrals;
Какие зоны роста в переговорах вы видите?;не лидера но ближе к этому;1;не лидера но ближе к этому;neutrals;
Какие зоны роста в переговорах вы видите?;нлп;1;нлп;neutrals;
Какие зоны роста в переговорах вы видите?;обширные возможности;1;обширные возможности;positives;
Какие зоны роста в переговорах вы видите?;предпринимательский подход;1;предпринимательский подход;neutrals;
Какие зоны роста в переговорах вы видите?;прокачка эмоц интеллекта;1;эмоциональный интеллект;positives;улучшение эмоционального интеллекта
Какие зоны роста в переговорах вы видите?;эмоциональный интеллект;1;эмоциональный интеллект;positives;
Какие зоны роста в переговорах вы видите?;развивать компетенции;1;развивать компетенции;positives;
Какие зоны роста в переговорах вы видите?;слушать;1;слышать партнёров;neutrals;
Какие зоны роста в переговорах вы видите?;слышать партнёров;1;слышать партнёров;positives;
Какие зоны роста в переговорах вы видите?;уверенность;1;уверенность;positives;
Какие зоны роста в переговорах вы видите?;управление эмоциями;1;эмоциональный интеллект;neutrals;
Какие зоны роста в переговорах вы видите?;эмоции;1;эмоции;neutrals;
Какие зоны роста в переговорах вы видите?;устойчивые;1;устойчивые;positives;
Какие зоны роста в переговорах вы видите?;харизма;1;харизма;positives;
Какие зоны роста в переговорах вы видите?;четкость позиции;1;четкость позиции;positives;
Какие зоны роста в переговорах вы видите?;чтобы заметили и подняли зп!!!;1;чтобы заметили и подняли зарплата;neutrals;чтобы заметили и подняли зарплата
Какие зоны роста в переговорах вы видите?;эмпатия;1;эмпатия;positives;
Мой город/город где я живу;г. усолье-сибирское;1;усолье-сибирское;neutrals;г усолье-сибирское
Мой город/город где я живу;усолье-сибирское;3;усолье-сибирское;neutrals;
Мой город/город где я живу;железногорск;1;железногорск;neutrals;
Мой город/город где я живу;москва;1;москва;neutrals;
Мой город/город где я живу;новосибирск;1;новосибирск;neutrals;
Каким словом можно описать состояние молодежи Росатома сегодня?;активность;2;активность;context sentiment;активные
Каким словом можно описать состояние молодежи Росатома сегодня?;в ресурсе;1;в ресурсе;context cluster;рабочее
Каким словом можно описать состояние молодежи Росатома сегодня?;в шоколаде;1;в шоколаде;context sentiment;хорошее
Каким словом можно описать состояние молодежи Росатома сегодня?;вовлеченная;1;вовлеченная;context sentiment;вовлеченное
Каким словом можно описать состояние молодежи Росатома сегодня?;вовлеченное;2;вовлеченное;context sentiment;
Каким словом можно описать состояние молодежи Росатома сегодня?;вовлеченость;1;вовлеченность;context sentiment;вовлеченное
Каким словом можно описать состояние молодежи Росатома сегодня?;разрозненные;1;разрозненные;context sentiment;
Каким словом можно описать состояние молодежи Росатома сегодня?;спит;1;спит;context cluster;вялая
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;адаптация;2;адаптация;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;баланс работы и личной жизни;1;баланс работы и личной жизни;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;безопасность;3;безопасность;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;безопасность нам её развивать;1;безопасность;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;культура безопасности;1;безопасность;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;бренд работодателя;1;бренд работодателя;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;в связи с утечкой мозгов;1;в связи с утечкой мозгов;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;вовлечение в спорт;1;спорт;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;корпоративный спорт;1;спорт;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;спорт;4;спорт;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;вовлеченность;1;вовлеченность;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;волонтёрстао;1;волонтёрство;neutrals;волонтёрство
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;волонтерство;4;волонтёрство;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;волонтёрство;1;волонтёрство;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;дебюрократизация;1;дебюрократизация;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;длительный туризм;1;длительный туризм;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;донорство;1;донорство;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;изучение иностранных языков;1;изучение иностранных языков;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;информирование;4;информирование;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;карьерный рост;2;карьерный рост;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;кейс развития компетенций;1;профессиональное развитие;positives;решение развития компетенций
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;киберспорт;1;киберспорт;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;криптовал;1;криптовалюта;neutrals;криптовалюта
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;лидерство;1;лидерство;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;личностное развитие;1;личностное развитие;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;логистика в отрасли;1;логистика в отрасли;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;люди и города;1;люди и города;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;медицина;2;медицина;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;не знаю;1;не знаю;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;нет;1;нет;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;новые продукты;1;новые продукты;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;обучение навыкам вп;1;обучение навыкам вп;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;оказание первой помощи;1;оказание первой помощи;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;охрана труда и тб;1;охрана труда и техника безопасности;neutrals;охрана труда и техника безопасности
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;поиск новых сотрудников;1;поиск новых сотрудников;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;помощь;1;помощь;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;приоритет семьи;1;приоритет семьи;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;профессиональное развитие;1;профессиональное развитие;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;профориентация;1;профориентация;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;психологическая поддержка;1;психологическая поддержка;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;психологическая устойчивость;1;психологическая устойчивость;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;психология управления;1;психология управления;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;раскрытие потенциала;2;раскрытие потенциала;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;с людьми нужно больше говорить;1;с людьми нужно больше говорить;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;смена гражданства;1;смена гражданства;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;снижение переработки;1;снижение переработки;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;тематические конференции;1;тематические конференции;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;технологический суверенитет;1;технологический суверенитет;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;устойчивое развитие;1;устойчивое развитие;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;финансы;1;финансы;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;форум энергия;1;форум энергия;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;цифровизация;1;цифровизация;neutrals;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;экологичные;1;экология;positives;
Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?;экология;2;экология;neutrals;
Как вы понимаете определение корпоративная культура?;баланс;1;баланс;positives;
Как вы понимаете определение корпоративная культура?;бережное отношение;1;бережное отношение;positives;
Как вы понимаете определение корпоративная культура?;взаимовежливость;1;взаимовежливость;positives;
Как вы понимаете определение корпоративная культура?;взаимоуважение;1;взаимоуважение;positives;
Как вы понимаете определение корпоративная культура?;уважение;2;взаимоуважение;positives;
Как вы понимаете определение корпоративная культура?;грамотная речь;1;грамотная речь;positives;
Как вы понимаете определение корпоративная культура?;грамотное общение;1;грамотное общение;positives;
Как вы понимаете определение корпоративная культура?;умение культурно общаться;1;культура общения;positives;
Как вы понимаете определение корпоративная культура?;дисциплин;1;дисциплина;neutrals;дисциплина
Как вы понимаете определение корпоративная культура?;единая миссия;1;единая миссия;neutrals;
Как вы понимаете определение корпоративная культура?;компания и сотрудники;1;компания и сотрудники;neutrals;
Как вы понимаете определение корпоративная культура?;культура в общение сотрудников;1;культура общения;neutrals;культура в общении сотрудников
Как вы понимаете определение корпоративная культура?;культура общения;1;культура общения;neutrals;
Как вы понимаете определение корпоративная культура?;отношения сотрудников;1;отношения сотрудников;neutrals;
Как вы понимаете определение корпоративная культура?;культура отношения в едином ст;1;культура отношения в едином ст;neutrals;
Как вы понимаете определение корпоративная культура?;культурное поведение в обще;1;поведение в коллективе;positives;культурное поведение в обществе
Как вы понимаете определение корпоративная культура?;правила поведения в обществе;1;нормы поведения;neutrals;
Как вы понимаете определение корпоративная культура?;культурные особенности орг-ии;1;культурные особенности организации;positives;культурные особенности организации
Как вы понимаете определение корпоративная культура?;модели взаимодействия;1;модели взаимодействия;neutrals;
Как вы понимаете определение корпоративная культура?;настроенность на результат;1;настроенность на результат;positives;
Как вы понимаете определение корпоративная культура?;норма поведения в организации;1;нормы поведения;neutrals;
Как вы понимаете определение корпоративная культура?;нормы и образцы поведения;1;нормы поведения;neutrals;
Как вы понимаете определение корпоративная культура?;нормы поведения;1;нормы поведения;neutrals;
Как вы понимаете определение корпоративная культура?;поведение в коллектив;1;поведение в коллективе;neutrals;поведение в коллективе
Как вы понимаете определение корпоративная культура?;поведение в коллективе;1;поведение в коллективе;neutrals;
Как вы понимаете определение корпоративная культура?;правила;1;правила;neutrals;
Как вы понимаете определение корпоративная культура?;свои правила;1;правила;neutrals;
Как вы понимаете определение корпоративная культура?;общая идея;1;общая идея;neutrals;
Как вы понимаете определение корпоративная культура?;общая цель;1;общая цель;neutrals;
Как вы понимаете определение корпоративная культура?;общение;1;общение;neutrals;
Как вы понимаете определение корпоративная культура?;объединение;1;сплоченность;neutrals;
Как вы понимаете определение корпоративная культура?;сплоченность;3;сплоченность;positives;
Как вы понимаете определение корпоративная культура?;поведение компании;1;поведение компании;neutrals;
Как вы понимаете определение корпоративная культура?;понимание;1;понимание;positives;
Как вы понимаете определение корпоративная культура?;распорядок;1;распорядок;neutrals;
Как вы понимаете определение корпоративная культура?;слаженность;1;слаженность;positives;
Как вы понимаете определение корпоративная культура?;умение общаться в коллективом;1;умение общаться с коллективом;positives;умение общаться с коллективом
Как вы понимаете определение корпоративная культура?;уметь слушать;1;уметь слушать;neutrals;
Как вы понимаете определение корпоративная культура?;это потенциал его раскрытие;1;это потенциал его раскрытия;neutrals;это потенциал его раскрытия
Как вы понимаете определение корпоративная культура?;это семья;1;это семья;neutrals;
Какая мысль вызвала наибольший интерес?;4 триллиона ₽;1;4 трлн рублей;neutrals;4 триллиона
Какая мысль вызвала наибольший интерес?;4 трл рублей;1;4 трлн рублей;neutrals;4 трлн рублей
Какая мысль вызвала наибольший интерес?;бережное отношение к друг друг;1;бережное отношение друг к другу;positives;бережное отношение друг к другу
Какая мысль вызвала наибольший интерес?;быть целеустремлённым;1;быть целеустремлённым;neutrals;
Какая мысль вызвала наибольший интерес?;видение 2030;1;видение 2030;neutrals;
Какая мысль вызвала наибольший интерес?;заглянуть за горизонт 🌄;1;заглянуть за горизонт;neutrals;заглянуть за горизонт
Какая мысль вызвала наибольший интерес?;кадровый рост молодёжи;1;кадровый рост молодёжи;positives;
Какая мысль вызвала наибольший интерес?;категория работника;1;категория работника;neutrals;
Какая мысль вызвала наибольший интерес?;кба;2;кба;neutrals;
Какая мысль вызвала наибольший интерес?;клиентоцентричность;1;клиентоцентричность;neutrals;
Какая мысль вызвала наибольший интерес?;клиенты платят нам зарплату;1;клиенты платят нам зарплату;neutrals;
Какая мысль вызвала наибольший интерес?;корпоративная культура;1;корпоративная культура;neutrals;
Какая мысль вызвала наибольший интерес?;лидер 5:0;1;лидер 5 0;neutrals;лидер 5 0
Какая мысль вызвала наибольший интерес?;лидер ищет возможности;1;лидер ищет возможности;neutrals;
Какая мысль вызвала наибольший интерес?;лучше чем вчера;1;лучше чем вчера;positives;
Какая мысль вызвала наибольший интерес?;люди бизнес технологии;2;люди бизнес технологии;neutrals;
Какая мысль вызвала наибольший интерес?;молодежка;1;о молодежном движении;neutrals;
Какая мысль вызвала наибольший интерес?;молодежное движение;1;о молодежном движении;neutrals;
Какая мысль вызвала наибольший интерес?;о молодежном движении;1;о молодежном движении;neutrals;
Какая мысль вызвала наибольший интерес?;мы❤️клиентов;1;мы клиентов;neutrals;мы клиентов
Какая мысль вызвала наибольший интерес?;на шаг впереди;1;на шаг впереди;positives;
Какая мысль вызвала наибольший интерес?;носители культуры-люди;1;носители культуры люди;neutrals;носители культуры люди
Какая мысль вызвала наибольший интерес?;поддержка в коллективе;1;поддержка в коллективе;positives;
Какая мысль вызвала наибольший интерес?;позитив;1;позитив;positives;
Какая мысль вызвала наибольший интерес?;получение новых знаний;1;получение новых знаний;positives;
Какая мысль вызвала наибольший интерес?;работа - вторая семья;1;работа вторая семья;neutrals;работа вторая семья
Какая мысль вызвала наибольший интерес?;работа-это семья;1;работа вторая семья;neutrals;работа это семья
Какая мысль вызвала наибольший интерес?;развитие;2;развитие;positives;
Какая мысль вызвала наибольший интерес?;развитие компании;2;развитие;positives;
Какая мысль вызвала наибольший интерес?;развитие личности;1;развитие;positives;
Какая мысль вызвала наибольший интерес?;росатом лидер лидеров;1;росатом лидер лидеров;positives;
Какая мысль вызвала наибольший интерес?;цель-куда идём?;1;цель куда идём;neutrals;цель куда идём
Какая мысль вызвала наибольший интерес?;ценности;1;ценности;neutrals;
Какая мысль вызвала наибольший интерес?;энергетика лидеров 5.0;1;лидер 5 0;neutrals;энергетика лидеров 5 0
Каким словом можно описать состояние молодежи вашего предприятия сегодня?;единая;1;единая;context sentiment;
Каким словом можно описать состояние молодежи вашего предприятия сегодня?;инициатива;1;инициатива;context sentiment;
Каким словом можно описать состояние молодежи вашего предприятия сегодня?;невключенная;1;невключенная;context sentiment;
Каким словом можно описать состояние молодежи вашего предприятия сегодня?;образованная;1;образованная;context sentiment;
Каким словом можно описать состояние молодежи вашего предприятия сегодня?;революционность;1;революционность;context sentiment;
Каким словом можно описать состояние молодежи вашего предприятия сегодня?;яркость;1;яркость;context sentiment;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;"""все лучше чем мы ожидали""";1;все лучше чем мы ожидали;positives;все лучше чем мы ожидали
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;1- строительство бн1200;1;реактор на быстрых нейтронах 1200;neutrals;1 строительство бн1200
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;бн1200;1;реактор на быстрых нейтронах 1200;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;бн-1200;2;реактор на быстрых нейтронах 1200;neutrals;реактор на быстрых нейтронах 1200
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;строительство бн-1200;1;реактор на быстрых нейтронах 1200;neutrals;строительство реактор на быстрых нейтронах 1200
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;2- присоединение зап.аэс;1;2 присоединение зап аэс;neutrals;2 присоединение зап аэс
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;3- развитие потен-ла молодежи;1;3 развитие потенциала молодежи;positives;3 развитие потенциала молодежи
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;раскрытие потенциала человека;2;раскрытие потенциала человека;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;баэс;1;баэс;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;безопасность;9;безопасность;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;безопасность;1;безопасность;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;видение 2030;1;видение 2030;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;достижение видения 2030;1;видение 2030;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;внимание к молодежи;1;внимание к молодежи;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;выполнение планов;1;выполнение планов;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;единство;1;объединение;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;объединение;1;объединение;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;заинтересованность в каждом;1;заинтересованность в каждом;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;запорожская аэс;1;запорожская аэс;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;зил под;1;зил под;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;кбп;1;кбп;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;команда;1;команда;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;культура безопасности;7;безопасность;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;причастность к безопасности;1;безопасность;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;лидерство в стране и мире;1;лидерство в стране и мире;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;лидер изменений;1;лидер изменений;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;люди и города;3;люди и города;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;мобилизация;2;мобилизация;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;новые возможности;1;новые возможности;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;охрана труда;1;охрана труда;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;подорожание жилья;1;подорожание жилья;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;помощь;1;помощь;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;потенциал - человек;1;раскрытие потенциала человека;neutrals;потенциал человек
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;развитие;2;развитие;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;развитие иработа над проектами;1;развитие и работа над проектами;positives;развитие и работа над проектами
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;расширение кадров;1;расширение кадров;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;реализация себя;1;реализация себя;positives;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;севморпуть;1;севморпуть;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;семья;1;семья;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;стратегия;1;стратегия;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;строительство 5 блока;1;строительство 5 блока;neutrals;
Какие главные посылы, актуальные для молодежи, вы услышали на Дне информировании?;уверенность в завтрашнем дне;1;уверенность в завтрашнем дне;positives;
